iter	Passed	Remaining
0	0	314
1	1	277
2	2	269
3	3	334
4	4	370
5	5	379
6	6	373
7	7	388
8	8	389
9	10	399
10	10	386
11	12	390
12	12	381
13	13	381
14	14	380
15	15	375
16	16	373
17	17	373
18	18	366
19	20	384
20	21	384
21	22	391
22	23	389
23	24	383
24	25	378
25	26	381
26	27	380
27	28	377
28	29	375
29	30	372
30	31	371
31	31	366
32	32	362
33	33	357
34	34	357
35	35	361
36	36	359
37	37	355
38	37	351
39	38	348
40	39	345
41	40	345
42	41	345
43	41	339
44	42	338
45	43	334
46	44	331
47	44	329
48	45	328
49	46	325
50	47	323
51	47	320
52	48	320
53	49	319
54	51	320
55	52	321
56	52	318
57	53	318
58	55	318
59	55	316
60	56	316
61	57	315
62	58	313
63	59	312
64	60	309
65	60	307
66	61	305
67	62	303
68	62	301
69	63	300
70	64	298
71	65	296
72	65	295
73	67	295
74	68	295
75	69	294
76	69	292
77	70	292
78	71	290
79	72	289
80	75	297
81	79	309
82	82	313
83	83	314
84	85	315
85	86	314
86	87	313
87	87	311
88	89	311
89	89	308
90	90	306
91	91	305
92	92	303
93	92	301
94	93	300
95	94	297
96	94	296
97	95	294
98	96	292
99	97	291
100	98	291
101	99	289
102	100	289
103	101	287
104	101	285
105	102	284
106	103	283
107	104	283
108	105	281
109	106	279
110	106	278
111	107	276
112	108	275
113	109	273
114	109	271
115	110	270
116	111	268
117	111	266
118	112	265
119	113	263
120	114	263
121	115	262
122	116	261
123	116	259
124	117	258
125	117	256
126	118	254
127	119	253
128	119	251
129	120	250
130	121	249
131	122	248
132	123	247
133	124	246
134	125	245
135	126	244
136	126	243
137	127	241
138	127	239
139	128	238
140	129	237
141	133	243
142	135	243
143	138	246
144	139	245
145	140	244
146	141	242
147	141	241
148	142	239
149	142	238
150	143	236
151	144	235
152	145	234
153	146	233
154	147	233
155	148	232
156	149	231
157	150	229
158	150	228
159	151	227
160	151	225
161	152	224
162	153	222
163	153	221
164	154	219
165	155	218
166	155	217
167	156	215
168	156	214
169	157	213
170	158	211
171	158	210
172	159	209
173	160	207
174	160	206
175	161	205
176	161	204
177	163	203
178	164	202
179	165	201
180	165	200
181	166	199
182	167	198
183	167	196
184	168	195
185	169	194
186	169	193
187	170	191
188	170	190
189	171	189
190	171	188
191	172	186
192	173	185
193	173	184
194	174	183
195	175	182
196	175	180
197	176	179
198	176	178
199	177	177
200	179	177
201	180	176
202	180	175
203	181	174
204	182	173
205	182	171
206	183	170
207	183	169
208	184	168
209	184	167
210	185	166
211	186	165
212	186	163
213	187	162
214	187	161
215	188	160
216	189	159
217	189	158
218	190	157
219	190	156
220	191	154
221	191	153
222	192	152
223	192	151
224	193	150
225	194	149
226	196	149
227	199	150
228	199	149
229	200	148
230	201	147
231	201	145
232	202	144
233	202	143
234	203	142
235	203	141
236	204	140
237	204	139
238	205	138
239	205	137
240	206	136
241	206	134
242	207	133
243	207	132
244	208	131
245	208	130
246	209	129
247	209	128
248	210	127
249	211	126
250	212	125
251	212	124
252	212	123
253	213	122
254	213	121
255	214	120
256	215	119
257	215	118
258	216	117
259	217	116
260	217	115
261	218	114
262	218	114
263	219	113
264	219	112
265	220	111
266	220	110
267	221	109
268	222	108
269	222	107
270	223	106
271	223	105
272	224	104
273	225	103
274	225	102
275	226	101
276	227	100
277	227	99
278	228	99
279	228	98
280	229	97
281	230	96
282	230	95
283	231	94
284	232	93
285	232	92
286	233	91
287	233	90
288	234	90
289	234	89
290	235	88
291	235	87
292	236	86
293	236	85
294	237	84
295	238	83
296	238	82
297	239	81
298	239	80
299	240	80
300	240	79
301	241	78
302	242	77
303	242	76
304	244	76
305	244	75
306	245	74
307	245	73
308	246	72
309	246	71
310	247	70
311	247	69
312	248	69
313	248	68
314	249	67
315	250	66
316	250	65
317	251	64
318	251	63
319	252	63
320	252	62
321	253	61
322	253	60
323	254	59
324	254	58
325	255	58
326	256	57
327	256	56
328	257	55
329	257	54
330	258	53
331	259	53
332	260	52
333	261	51
334	261	50
335	262	49
336	263	49
337	263	48
338	264	47
339	264	46
340	265	45
341	266	45
342	266	44
343	267	43
344	267	42
345	268	41
346	268	41
347	269	40
348	269	39
349	270	38
350	271	37
351	271	37
352	272	36
353	272	35
354	273	34
355	273	33
356	274	33
357	274	32
358	275	31
359	276	30
360	276	29
361	277	29
362	277	28
363	278	27
364	279	26
365	279	25
366	280	25
367	280	24
368	281	23
369	281	22
370	282	22
371	282	21
372	283	20
373	283	19
374	284	18
375	284	18
376	285	17
377	285	16
378	286	15
379	286	15
380	287	14
381	287	13
382	288	12
383	289	12
384	289	11
385	290	10
386	290	9
387	291	9
388	291	8
389	292	7
390	293	6
391	294	6
392	294	5
393	295	4
394	296	3
395	296	2
396	297	2
397	298	1
398	298	0
399	299	0
